Id,Name,new_agreement_name
006WR00000wjnmKYAQ,University Apartments,Spokane Valley_MDU_University Apartments
006WR00000wk1EpYAI,Linea Stillwater,Georgetown_MDU_Linea Stillwater
006WR00000wk9RuYAI,Town East,Killeen_MDU_Town East Apartments
006WR00000wk9TBYAY,San Clemente,Gilbert_MDU_San Clemente
006WR00000wk9TCYAY,San Angelin,Mesa_MDU_San Angelin
006WR00000wk9TGYAY,San Miguel Apartments,Mesa_MDU_San Miguel Apartments
006WR00000wkACEYA2,Birchwood Apts,Omaha_MDU_Birchwood Apts
006WR00000wkACGYA2,Bella Vita,Scottsdale_MDU_Bella Vita
006WR00000wkAVPYA2,Benedict Park Place,Denver_MDU_Benedict Park Place
006WR00000wkAjtYAE,Camino Colony,Oceanside_MDU_Camino Colony
006WR00000wkAk9YAE,Four Seasons Condominiums of Winter Park,Winter Park_MDU_Four Seasons Condominiums of Winter Park
006WR00000wkArKYAU,Lawrence Lofts,Seattle_MDU_Lawrence Lofts
006WR00000wkArMYAU,Madison Crossing,Seattle_MDU_Madison Crossing
006WR00000wkBojYAE,The Outlook at Windhaven,Dallas_MDU_The Outlook at Windhaven
006WR00000wkCjuYAE,Bradley Arms_Colt RE,Killeen_MDU_Bradley Arms
006WR00000wkDM3YAM,Luxe at Ocotillo,Chandler_MDU_Luxe @ Ocotillo
006WR00000wkDM4YAM,Ocotillo Bay,Chandler_MDU_Ocotillo Bay
006WR00000wkDtxYAE,Olive East,Gilbert_MDU_Olive East
006WR00000wkDuKYAU,Fowler's RV Park,Fort Worth_SFU_Fowler's RV Park
006WR00000wkDuOYAU,Stonebridge Gardens,Mesa_SFU_StonebridgeGardens
006WR00000wkEZeYAM,Heritage Park,Denison_MDU_Heritage Park/Lakeview Park Apartments
006WR00000wkEZmYAM,Turnagain Apartments,Fallbrook_MDU_Turnagain  Apartments
006WR00000wkEawYAE,Link Canvas (fka The George & The Leonard),Atlanta_MDU_Link Canvas
006WR00000wkEb5YAE,Greenfield Village RV Resort,Mesa_SFU_Greenfield Village RV Resort
006WR00000wkEbdYAE,Sun Place Apartments,Roseville_MDU_Sun Place Apartments
006WR00000wkEboYAE,The Bungalows,Killeen_MDU_The Bungalows
006WR00000wkEcEYAU,Northampton Court Condominiums,Omaha_MDU_Northampton Court Condos
006WR00000wkEcXYAU,Lakewood Manufactured Home Community,Killeen_MDU_Lakewood Manufactured Homes
