"sf__Id","sf__Created",Id,Substatus__c
"006WR00000wkDuCYAU","false","006WR00000wkDuCYAU","Budget Not Approved / Business Case"
"006WR00000wkDuEYAU","false","006WR00000wkDuEYAU","Budget Not Approved / Business Case"
"006WR00000wkDuGYAU","false","006WR00000wkDuGYAU","Budget Not Approved / Business Case"
"006WR00000wkDuHYAU","false","006WR00000wkDuHYAU","Budget Not Approved / Business Case"
"006WR00000wkDuIYAU","false","006WR00000wkDuIYAU","Budget Not Approved / Business Case"
"006WR00000wkEZoYAM","false","006WR00000wkEZoYAM","Budget Not Approved / Business Case"
"006WR00000wkEZqYAM","false","006WR00000wkEZqYAM","Budget Not Approved / Business Case"
"006WR00000wkDuBYAU","false","006WR00000wkDuBYAU","Owner Unresponsive"
"006WR00000wkEbCYAU","false","006WR00000wkEbCYAU","Budget Not Approved / Business Case"
"006WR00000wkEbXYAU","false","006WR00000wkEbXYAU","Budget Not Approved / Business Case"
"006WR00000wkEbtYAE","false","006WR00000wkEbtYAE","Owner Unresponsive"
"006WR00000wkEc9YAE","false","006WR00000wkEc9YAE","Budget Not Approved / Business Case"
"006WR00000wkEb5YAE","false","006WR00000wkEb5YAE","Bulk/Marketing Rejected"
"006WR00000wkEbEYAU","false","006WR00000wkEbEYAU","Bulk/Marketing Rejected"
"006WR00000wkEbFYAU","false","006WR00000wkEbFYAU","Bulk/Marketing Rejected"
"006WR00000wkEb3YAE","false","006WR00000wkEb3YAE","Chose Another Provider"
"006WR00000wkEc6YAE","false","006WR00000wkEc6YAE","Budget Not Approved / Business Case"
