Site Name,SF Id,SF Name,Units,Action,Owner,Record Type,Stage: from,Stage: to,Loss Reason: from,Loss Reason: to,Fields changing,HOLD - needs a human
Azle_MDU_Crestwood Apartment Homes,006WR00000wkClPYAU,Crestwood Apartment Homes,64,Change to Closed Lost - Existing BULK,Chuck McNeely,MDU/SFU,Prospects,Closed Lost,,Existing Contract,StageName; Loss_Reason__c,
Fort Worth_MDU_Belterra,006WR00000wkClBYAU,Belterra,286,Change to Closed Lost - Existing BULK,Chuck McNeely,MDU/SFU,Prospects,Closed Lost,,Existing Contract,StageName; Loss_Reason__c,
Georgetown_MDU_NorthStar Georgetown,006WR00000wkClxYAE,NorthStar Georgetown,216,Change to Closed Lost - Existing BULK,Chuck McNeely,MDU/SFU,Prospects,Closed Lost,,Existing Contract,StageName; Loss_Reason__c,
Killeen_MDU_Bryce Avenue Apartments,006WR00000wkClVYAU,Bryce Avenue Apartments,179,Change to Closed Lost - Existing BULK,Chuck McNeely,MDU/SFU,On Hold,Closed Lost,,Existing Contract,StageName; Loss_Reason__c,
Killeen_MDU_Country Place Apt,006WR00000wkClgYAE,Country Place,137,Change to Closed Lost - Existing BULK,Chuck McNeely,MDU/SFU,Prospects,Closed Lost,,Existing Contract,StageName; Loss_Reason__c,
Killeen_MDU_Harris Apartments,006WR00000wkCm8YAE,Harris Apartments,46,Change to Closed Lost - Existing BULK,Chuck McNeely,MDU/SFU,Prospects,Closed Lost,,Existing Contract,StageName; Loss_Reason__c,
Killeen_MDU_Highview Apts,006WR00000wkClaYAE,Highview Apartments,67,Change to Closed Lost - Existing BULK,Chuck McNeely,MDU/SFU,Prospects,Closed Lost,,Existing Contract,StageName; Loss_Reason__c,
Killeen_MDU_Lakeview Apts,006WR00000wkClOYAU,Lakeview Apartments,64,Change to Closed Lost - Existing BULK,Chuck McNeely,MDU/SFU,Prospects,Closed Lost,,Existing Contract,StageName; Loss_Reason__c,"note ""Will not sign Bulk again"" is ambiguous - if they will not re-sign WITH SPECTRUM that is an opening, not a loss"
Killeen_MDU_Morgan Manor Apts,006WR00000wkClLYAU,Morgan Manor,69,Change to Closed Lost - Existing BULK,Chuck McNeely,MDU/SFU,Prospects,Closed Lost,,Existing Contract,StageName; Loss_Reason__c,"note says ""this could be wrong. Feel free to change @Chuck McNeely"" - author flagged his own note as unreliable"
Killeen_MDU_Southcastle Apts,006WR00000wkClMYAU,Southcastle Apartments,71,Change to Closed Lost - Existing BULK,Chuck McNeely,MDU/SFU,On Hold,Closed Lost,,Existing Contract,StageName; Loss_Reason__c,
Killeen_MDU_The Remington,006WR00000wkClHYAU,The Remington,200,Change to Closed Lost - Existing BULK,Chuck McNeely,MDU/SFU,Prospects,Closed Lost,,Existing Contract,StageName; Loss_Reason__c,
Killeen_MDU_Tucker Apts,006WR00000wkCleYAE,Tucker Apts AKA Brickstone Villas,136,Change to Closed Lost - Existing BULK,Chuck McNeely,MDU/SFU,Prospects,Closed Lost,,Existing Contract,StageName; Loss_Reason__c,
Killeen_MDU_Twin Creek,006WR00000wkCltYAE,Twin creek,160,Change to Closed Lost - Existing BULK,Chuck McNeely,MDU/SFU,Prospects,Closed Lost,,Existing Contract,StageName; Loss_Reason__c,
North Richland Hills_MDU_Watermere at the Preserve,006WR00000wkCliYAE,Watermere at the Preserve,229,Change to Closed Lost - Existing BULK,Chuck McNeely,MDU/SFU,Prospects,Closed Lost,,Existing Contract,StageName; Loss_Reason__c,
Azle_MDU_Azlewood,006WR00000wkABeYAM,Azlewood,80,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Azle_MDU_Gateway Village Apartments,006WR00000wkA8UYAU,Gateway Village Apartments,50,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Decatur_MDU_Quail Run Apartments,006WR00000wkC7yYAE,Quail Run Apartments,43,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Decatur_MDU_Stone Hill Apartments,006WR00000wkCjfYAE,Stone Hill Apartments,61,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Fort Worth_MDU_Eagle's Point Apartments,006WR00000wkCljYAE,Eagle's Point Apartments,240,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Fort Worth_MDU_Garden Gate Apartments,006WR00000wkDM7YAM,Garden Gate Apartments,241,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Fort Worth_MDU_Harmon Senior Villas,006WR00000wkDMLYA2,Harmon Senior Villas,160,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
Fort Worth_MDU_Legacy Riverside Senior Living,006WR00000wkDMKYA2,Legacy Riverside Senior Living,175,Move to Propspects,Bill Holick,MDU/SFU,Closed Lost,Prospects,No Contact Info,,StageName; Loss_Reason__c,
